Session,Type,Title,Speaker,Institute,Country,Raw_Speaker_Data
"Experiments upgrade, future facilities and instrumentations",parallel,The next decade of physics with PHENIX,"Sickles, Anne",Brookhaven,USA,"{'_type': 'ContributionParticipation', '_fossil': 'contributionParticipationMetadata', 'first_name': 'Anne', 'last_name': 'Sickles', 'fullName': 'Sickles, Anne', 'id': '1897258', 'affiliation': 'Brookhaven', 'emailHash': 'd9759747cc7d389c5e8e2df1699d4f9c', 'db_id': 1897258, 'person_id': 2047430}"
Correlations and fluctuations,parallel,Correlations and fluctuations from lattice QCD,"Ratti, Claudia",Torino University,Unknown,"{'_type': 'ContributionParticipation', '_fossil': 'contributionParticipationMetadata', 'first_name': 'Claudia', 'last_name': 'Ratti', 'fullName': 'Ratti, Claudia', 'id': '1896474', 'affiliation': 'Torino University', 'emailHash': 'b399323a1352640d52d64c87362144c2', 'db_id': 1896474, 'person_id': 2046805}"
Jets,parallel,Suppression of high p_T hadrons in PbPb Collisions at LHC,"Zhang, Hanzhong",IOPP,Unknown,"{'_type': 'ContributionParticipation', '_fossil': 'contributionParticipationMetadata', 'first_name': 'Hanzhong', 'last_name': 'Zhang', 'fullName': 'Zhang, Hanzhong', 'id': '1896907', 'affiliation': 'IOPP', 'emailHash': 'e0c9e82091bb5835d52a083cba6ca243', 'db_id': 1896907, 'person_id': 2047167}"
Global and collective dynamics,parallel,Elliptic and triangular flow of identified particles measured with the ALICE detector.,"Krzewicki, Mikolaj",NIKHEF,Germany,"{'_type': 'ContributionParticipation', '_fossil': 'contributionParticipationMetadata', 'first_name': 'Mikolaj', 'last_name': 'Krzewicki', 'fullName': 'Krzewicki, Mikolaj', 'id': '1896839', 'affiliation': 'NIKHEF', 'emailHash': '6233e92da587b0c3279f739014a7e2d9', 'db_id': 1896839, 'person_id': 2047113}"
QCD phase diagram,parallel,"Transition temperature and the equation of state from lattice QCD, Wuppertal-Budapest results","Fodor, Zoltan",BUW,Unknown,"{'_type': 'ContributionParticipation', '_fossil': 'contributionParticipationMetadata', 'first_name': 'Zoltan', 'last_name': 'Fodor', 'fullName': 'Fodor, Zoltan', 'id': '1896648', 'affiliation': 'BUW', 'emailHash': '445662892418e8af76dffc8c671fbdcd', 'db_id': 1896648, 'person_id': 2046958}"
Global and collective dynamics,parallel,Charge dependent azimuthal correlations in PbPb collisions at $\sqrt{s_{NN}} = 2.76$~TeV,"Christakoglou, Panos",NIKHEF - Utrecht University,Netherlands,"{'_type': 'ContributionParticipation', '_fossil': 'contributionParticipationMetadata', 'first_name': 'Panos', 'last_name': 'Christakoglou', 'fullName': 'Christakoglou, Panos', 'id': '1897013', 'affiliation': 'NIKHEF - Utrecht University', 'emailHash': 'eb31b84fa8a7711e6939eb76aa9f2876', 'db_id': 1897013, 'person_id': 2046910}"
Global and collective dynamics,parallel,K0s and Lambda production in PbPb collisions with the ALICE experiment,"BELIKOV, Iouri","IPHC, CNRS-IN2P3",Unknown,"{'_type': 'ContributionParticipation', '_fossil': 'contributionParticipationMetadata', 'first_name': 'Iouri', 'last_name': 'BELIKOV', 'fullName': 'BELIKOV, Iouri', 'id': '1896762', 'affiliation': 'IPHC, CNRS-IN2P3', 'emailHash': '9b8549a8cbe6c6e652e1e03f851c5227', 'db_id': 1896762, 'person_id': 2047048}"
Hadron thermodynamics and chemistry,parallel,Multi-strange particle measurements in 7 TeV proton-proton and 2.76 TeV PbPb collisions with the ALICE experiment at the LHC,"Chinellato, D.D.",Instituto de Fisica Gleb Wataghin (IFGW) - Universidade Estadual de Campinas,Unknown,"{'_type': 'ContributionParticipation', '_fossil': 'contributionParticipationMetadata', 'first_name': 'D.D.', 'last_name': 'Chinellato', 'fullName': 'Chinellato, D.D.', 'id': '1896746', 'affiliation': 'Instituto de Fisica Gleb Wataghin (IFGW) - Universidade Estadual de Campinas', 'emailHash': '2bb60b0cca197d27d8edb169fac8f559', 'db_id': 1896746, 'person_id': 2047038}"
Heavy flavor and quarkonia production,parallel,Quarkonium production at the LHC: QCD corrections and new observables,"Lansberg, Jean-Philippe","IPNO, Université Paris-Sud 11",Unknown,"{'_type': 'ContributionParticipation', '_fossil': 'contributionParticipationMetadata', 'first_name': 'Jean-Philippe', 'last_name': 'Lansberg', 'fullName': 'Lansberg, Jean-Philippe', 'id': '1896916', 'affiliation': 'IPNO, Université Paris-Sud 11', 'emailHash': 'e374342f56ba0f5057ee8898074bc8b7', 'db_id': 1896916, 'person_id': 2047174}"
Jets,parallel,Jet quenching and elliptic flow in heavy ion collisions at RHIC and LHC within a pQCD-based partonic transport model,"Fochler, Oliver","Institut für Theoretische Physik, Goethe-Universität Frankfurt",Unknown,"{'_type': 'ContributionParticipation', '_fossil': 'contributionParticipationMetadata', 'first_name': 'Oliver', 'last_name': 'Fochler', 'fullName': 'Fochler, Oliver', 'id': '1896465', 'affiliation': 'Institut für Theoretische Physik, Goethe-Universität Frankfurt', 'emailHash': 'e9f60c8222da21ed6c2d0521700ce7be', 'db_id': 1896465, 'person_id': 2046796}"
Hadron thermodynamics and chemistry,parallel,Identified hadron production from the RHIC beam energy scan program in the STAR experiment,"kumar, lokesh",Kent State University,India,"{'_type': 'ContributionParticipation', '_fossil': 'contributionParticipationMetadata', 'first_name': 'lokesh', 'last_name': 'kumar', 'fullName': 'kumar, lokesh', 'id': '1896503', 'affiliation': 'Kent State University', 'emailHash': '16635f9ee1718fa6c5887b0f70b26318', 'db_id': 1896503, 'person_id': 2046833}"
New theoretical developments,parallel,"Chirality, magnetic field and parity violation in hot QCD matter","Kharzeev, Dmitri",Stony Brook and BNL,USA,"{'_type': 'ContributionParticipation', '_fossil': 'contributionParticipationMetadata', 'first_name': 'Dmitri', 'last_name': 'Kharzeev', 'fullName': 'Kharzeev, Dmitri', 'id': '1896507', 'affiliation': 'Stony Brook and BNL', 'emailHash': 'ec0097a6784fdedad8ac0d7937cbb7de', 'db_id': 1896507, 'person_id': 2046837}"
Heavy flavor and quarkonia production,parallel,"D meson nuclear modification factors in PbPb collisions at $\sqrt{s_{NN}}=2.76~{\rm TeV}$, measured with the ALICE detector","Rossi, Andrea",Sezione di Padova (INFN)-Universita e INFN,Italy,"{'_type': 'ContributionParticipation', '_fossil': 'contributionParticipationMetadata', 'first_name': 'Andrea', 'last_name': 'Rossi', 'fullName': 'Rossi, Andrea', 'id': '1896512', 'affiliation': 'Sezione di Padova (INFN)-Universita e INFN', 'emailHash': 'd09bb9f29683464e0a15807db2e770cf', 'db_id': 1896512, 'person_id': 2046841}"
Pre-equilibrium and initial state physics,parallel,Cold nuclear matter physics at low-x from d+Au collisions at PHENIX,"Chiu, Mickey",Brookhaven National Lab,USA,"{'_type': 'ContributionParticipation', '_fossil': 'contributionParticipationMetadata', 'first_name': 'Mickey', 'last_name': 'Chiu', 'fullName': 'Chiu, Mickey', 'id': '1896521', 'affiliation': 'Brookhaven National Lab', 'emailHash': '9d940841f126c4b67d597b33505b4f63', 'db_id': 1896521, 'person_id': 2046825}"
Heavy flavor and quarkonia production,parallel,Open charm hadron measurement in pp and Au+Au collisions at $\sqrt{s}$ = 200 GeV in STAR,"Zhang, Yifei",Lawrence Berkeley National Lab,USA,"{'_type': 'ContributionParticipation', '_fossil': 'contributionParticipationMetadata', 'first_name': 'Yifei', 'last_name': 'Zhang', 'fullName': 'Zhang, Yifei', 'id': '1896538', 'affiliation': 'Lawrence Berkeley National Lab', 'emailHash': '95cc553196f0d1b4a1ee0094d4fc3376', 'db_id': 1896538, 'person_id': 2046863}"
New theoretical developments,parallel,Determination of relaxation times at weak and strong coupling,"Rischke, Dirk","Institut fur Theoretische Physik, Goethe University, and Frankfurt Institute for Advanced Studies (FIAS), 60438 Frankfurt am Main, Germany",Unknown,"{'_type': 'ContributionParticipation', '_fossil': 'contributionParticipationMetadata', 'first_name': 'Dirk', 'last_name': 'Rischke', 'fullName': 'Rischke, Dirk', 'id': '1896544', 'affiliation': 'Institut fur Theoretische Physik, Goethe University, and Frankfurt Institute for Advanced Studies (FIAS), 60438 Frankfurt am Main, Germany', 'emailHash': '49272883a310e526b52fcb082534fb7b', 'db_id': 1896544, 'person_id': 2046830}"
Hadron thermodynamics and chemistry,parallel,Observation of the antimatter helium-4 nucleus,"Xue, Liang",SINAP/BNL,USA,"{'_type': 'ContributionParticipation', '_fossil': 'contributionParticipationMetadata', 'first_name': 'Liang', 'last_name': 'Xue', 'fullName': 'Xue, Liang', 'id': '1896549', 'affiliation': 'SINAP/BNL', 'emailHash': '61e4a2baf71ad7f0531ef9a935c66486', 'db_id': 1896549, 'person_id': 2046870}"
Global and collective dynamics,parallel,PHENIX measurements of higher-order flow harmonics in Au+Au collisions at $\sqrt{s_{NN}}=200$ GeV: implications for Initial-eccentricity models and the specific viscosity of the Quark Gluon Plasma,"Lacey, Roy",Stony Brook University,USA,"{'_type': 'ContributionParticipation', '_fossil': 'contributionParticipationMetadata', 'first_name': 'Roy', 'last_name': 'Lacey', 'fullName': 'Lacey, Roy', 'id': '1896554', 'affiliation': 'Stony Brook University', 'emailHash': 'c1129d5060eac3f589873103b9f63418', 'db_id': 1896554, 'person_id': 2046875}"
Global and collective dynamics,parallel,Midrapidity charged particle directed flow in PbPb collisions at sqrt{s_{NN}} = 2.76 TeV measured with ALICE at the LHC,"Selyuzhenkov, Ilya",EMMI/GSI,Germany,"{'_type': 'ContributionParticipation', '_fossil': 'contributionParticipationMetadata', 'first_name': 'Ilya', 'last_name': 'Selyuzhenkov', 'fullName': 'Selyuzhenkov, Ilya', 'id': '1896557', 'affiliation': 'EMMI/GSI', 'emailHash': '1c3d3c4a36f011d11ab19070dee42214', 'db_id': 1896557, 'person_id': 2046878}"
Correlations and fluctuations,parallel,Event-by-event mean $p_{T}$ fluctuations in pp and PbPb collisions measured by the ALICE experiment at the LHC,"Heckel, Stefan",Johann-Wolfgang-Goethe Univ.,Germany,"{'_type': 'ContributionParticipation', '_fossil': 'contributionParticipationMetadata', 'first_name': 'Stefan', 'last_name': 'Heckel', 'fullName': 'Heckel, Stefan', 'id': '1896561', 'affiliation': 'Johann-Wolfgang-Goethe Univ.', 'emailHash': '281fd6872eb5b3222159d3aa9ad84fad', 'db_id': 1896561, 'person_id': 2046882}"
Heavy flavor and quarkonia production,parallel,Charmonium production measured in PbPb and pp collisions by CMS,"Dahms, Torsten","LLR - Ecole Polytechnique, IN2P3-CNRS",Germany,"{'_type': 'ContributionParticipation', '_fossil': 'contributionParticipationMetadata', 'first_name': 'Torsten', 'last_name': 'Dahms', 'fullName': 'Dahms, Torsten', 'id': '1896569', 'affiliation': 'LLR - Ecole Polytechnique, IN2P3-CNRS', 'emailHash': 'f527063f5dfeff3e82dc9829090ce863', 'db_id': 1896569, 'person_id': 2046896}"
Jets,parallel,Jet reconstruction with particle flow in heavy-ion collisions with CMS,"Nguyen, Matthew",CERN,Switzerland,"{'_type': 'ContributionParticipation', '_fossil': 'contributionParticipationMetadata', 'first_name': 'Matthew', 'last_name': 'Nguyen', 'fullName': 'Nguyen, Matthew', 'id': '1896571', 'affiliation': 'CERN', 'emailHash': '33d38914460d832f26c99adfe6689633', 'db_id': 1896571, 'person_id': 2046898}"
Electromagnetic probes,parallel,Measurement of inclusive isolated photons in PbPb collisions with CMS,"Kim, Yong",Massachusetts Inst. of Technology (MIT)  Heacy Ion group (CMS),USA,"{'_type': 'ContributionParticipation', '_fossil': 'contributionParticipationMetadata', 'first_name': 'Yong', 'last_name': 'Kim', 'fullName': 'Kim, Yong', 'id': '1896574', 'affiliation': 'Massachusetts Inst. of Technology (MIT)  Heacy Ion group (CMS)', 'emailHash': 'b5b8d9f461b3b71e1fcf62c35d75675c', 'db_id': 1896574, 'person_id': 2046899}"
Jets,parallel,Centrality and transverse momentum dependence of the nuclear modification of charged particle spectra in PbPb collisions at 2.76 TeV from CMS,"Yoon, Andre",Massachusetts Inst. of Technology (MIT),USA,"{'_type': 'ContributionParticipation', '_fossil': 'contributionParticipationMetadata', 'first_name': 'Andre', 'last_name': 'Yoon', 'fullName': 'Yoon, Andre', 'id': '1896576', 'affiliation': 'Massachusetts Inst. of Technology (MIT)', 'emailHash': 'cf23b948950e3c28610af21cd8eab3c4', 'db_id': 1896576, 'person_id': 2046900}"
Electromagnetic probes,parallel,Weak boson production measured in PbPb and pp by CMS,"Robles, Jorge A",University of California (UCD),USA,"{'_type': 'ContributionParticipation', '_fossil': 'contributionParticipationMetadata', 'first_name': 'Jorge A', 'last_name': 'Robles', 'fullName': 'Robles, Jorge A', 'id': '1896578', 'affiliation': 'University of California (UCD)', 'emailHash': 'ea1949bcf27cbf3ee51c4c8522c39cd0', 'db_id': 1896578, 'person_id': 2046901}"
Jets,parallel,Monte-Carlo simulation for elastic energy loss of high-energy partons in a hydrodynamical background,"Auvinen, Jussi",University of Jyväskylä,Unknown,"{'_type': 'ContributionParticipation', '_fossil': 'contributionParticipationMetadata', 'first_name': 'Jussi', 'last_name': 'Auvinen', 'fullName': 'Auvinen, Jussi', 'id': '1896580', 'affiliation': 'University of Jyväskylä', 'emailHash': '8f13f543073d831d4fa0a6db5121c27d', 'db_id': 1896580, 'person_id': 2046902}"
Jets,parallel,Dijet fragmentation functions measured in PbPb collisions with CMS,"Yilmaz, Yetkin",Massachusetts Inst. of Technology (MIT),USA,"{'_type': 'ContributionParticipation', '_fossil': 'contributionParticipationMetadata', 'first_name': 'Yetkin', 'last_name': 'Yilmaz', 'fullName': 'Yilmaz, Yetkin', 'id': '1896585', 'affiliation': 'Massachusetts Inst. of Technology (MIT)', 'emailHash': '26d7e0564e275b11da5eeadf8255bf82', 'db_id': 1896585, 'person_id': 2046907}"
Jets,parallel,Study of jet quenching using dijets in PbPb Collisions with CMS,"Tonjes, Marguerite Belt",University of Maryland,USA,"{'_type': 'ContributionParticipation', '_fossil': 'contributionParticipationMetadata', 'first_name': 'Marguerite Belt', 'last_name': 'Tonjes', 'fullName': 'Tonjes, Marguerite Belt', 'id': '1896587', 'affiliation': 'University of Maryland', 'emailHash': '7ee368330f3799bca6e5dd0e3b3dc7cb', 'db_id': 1896587, 'person_id': 2046908}"
Heavy flavor and quarkonia production,parallel,Bottomonium production measured in PbPb and pp collisions by CMS,"Hu, Zhen",Purdue University,USA,"{'_type': 'ContributionParticipation', '_fossil': 'contributionParticipationMetadata', 'first_name': 'Zhen', 'last_name': 'Hu', 'fullName': 'Hu, Zhen', 'id': '1896889', 'affiliation': 'Purdue University', 'emailHash': '1292fe2a365db5877c9fdc7d55d133f4', 'db_id': 1896889, 'person_id': 2047155}"
Global and collective dynamics,parallel,Charged hadron azimuthal anisotropy (v_2) in $sqrt s_{NN} = 2.76 $ TeV PbPb collisions from CMS,"Zhukova, Victoria",University of Kansas,USA,"{'_type': 'ContributionParticipation', '_fossil': 'contributionParticipationMetadata', 'first_name': 'Victoria', 'last_name': 'Zhukova', 'fullName': 'Zhukova, Victoria', 'id': '1896615', 'affiliation': 'University of Kansas', 'emailHash': '43e6b87bb8e8a503d4307142bd73c349', 'db_id': 1896615, 'person_id': 2046930}"
Jets,parallel,Jet-Hadron Correlations in STAR,"Ohlson, Alice",Yale University,USA,"{'_type': 'ContributionParticipation', '_fossil': 'contributionParticipationMetadata', 'first_name': 'Alice', 'last_name': 'Ohlson', 'fullName': 'Ohlson, Alice', 'id': '1896977', 'affiliation': 'Yale University', 'emailHash': 'e881235c7ca0f2c97a8c488374944fa7', 'db_id': 1896977, 'person_id': 2047222}"
Pre-equilibrium and initial state physics,parallel,Spectrum of initial fluctuations in the little bang,"Venugopalan, Raju",Brookhaven National Laboratory,USA,"{'_type': 'ContributionParticipation', '_fossil': 'contributionParticipationMetadata', 'first_name': 'Raju', 'last_name': 'Venugopalan', 'fullName': 'Venugopalan, Raju', 'id': '1896635', 'affiliation': 'Brookhaven National Laboratory', 'emailHash': 'ba6ab8357d1d3fff7670ca11127b105c', 'db_id': 1896635, 'person_id': 2046950}"
Global and collective dynamics,parallel,Elliptic and triangular flow in the event-by-event 3+1D viscous hydrodynamics,"Jeon, Sangyong",McGill University,Unknown,"{'_type': 'ContributionParticipation', '_fossil': 'contributionParticipationMetadata', 'first_name': 'Sangyong', 'last_name': 'Jeon', 'fullName': 'Jeon, Sangyong', 'id': '1896656', 'affiliation': 'McGill University', 'emailHash': '5270009e0da9dbc4386fd5bc38e0bca6', 'db_id': 1896656, 'person_id': 2046963}"
Jets,parallel,High-pT suppression of Lambda and K0s in PbPb collisions at sqrt(sNN) = 2.76 TeV with ALICE,"Schuchmann, Simone",Institut fuer Kernphysik-Johann-Wolfgang-Goethe Univ.,Unknown,"{'_type': 'ContributionParticipation', '_fossil': 'contributionParticipationMetadata', 'first_name': 'Simone', 'last_name': 'Schuchmann', 'fullName': 'Schuchmann, Simone', 'id': '1896672', 'affiliation': 'Institut fuer Kernphysik-Johann-Wolfgang-Goethe Univ.', 'emailHash': '39ebac1cbeffb37364721867d19a770b', 'db_id': 1896672, 'person_id': 2046976}"
Global and collective dynamics,parallel,"Diffraction dissociation of protons in proton-proton collisions at \sqrt{s} = 0.9 TeV, 2.76 TeV and 7 TeV with ALICE at the LHC","Poghosyan, Martin","Universita & INFN, Torino",Unknown,"{'_type': 'ContributionParticipation', '_fossil': 'contributionParticipationMetadata', 'first_name': 'Martin', 'last_name': 'Poghosyan', 'fullName': 'Poghosyan, Martin', 'id': '1896676', 'affiliation': 'Universita & INFN, Torino', 'emailHash': 'f80d9ac74c90ae09615802eef414475d', 'db_id': 1896676, 'person_id': 2046980}"
Jets,parallel,Measurements of charged particle spectra in sqrt(s_NN)=2.76 PbPb collisions with the ATLAS detector at the LHC,"Milov, Alexander",Weizmann Institute of Science,Unknown,"{'_type': 'ContributionParticipation', '_fossil': 'contributionParticipationMetadata', 'first_name': 'Alexander', 'last_name': 'Milov', 'fullName': 'Milov, Alexander', 'id': '1896707', 'affiliation': 'Weizmann Institute of Science', 'emailHash': 'dabec4a547e4b7726bba1e938754840e', 'db_id': 1896707, 'person_id': 2047014}"
Global and collective dynamics,parallel,Measurement of charged particle pseudorapidity density in PbPb collisions at sqrt(s_NN) = 2.76 TeV with the ATLAS detector at the LHC,"Chen, Yujiao",Columbia University,USA,"{'_type': 'ContributionParticipation', '_fossil': 'contributionParticipationMetadata', 'first_name': 'Yujiao', 'last_name': 'Chen', 'fullName': 'Chen, Yujiao', 'id': '1896711', 'affiliation': 'Columbia University', 'emailHash': '7a61656a42a3f37f19c54422aeaed4a1', 'db_id': 1896711, 'person_id': 2047015}"
Jets,parallel,Measurements of Jets and Jet Quenching in sqrt(s_NN)=2.76 TeV PbPb Collisions with the ATLAS Detector at the LHC,"Angerami, Aaron Richard",Columbia University,USA,"{'_type': 'ContributionParticipation', '_fossil': 'contributionParticipationMetadata', 'first_name': 'Aaron Richard', 'last_name': 'Angerami', 'fullName': 'Angerami, Aaron Richard', 'id': '1896713', 'affiliation': 'Columbia University', 'emailHash': '11b23fd503aed050e358aa1d92b18a9d', 'db_id': 1896713, 'person_id': 2047016}"
Global and collective dynamics,parallel,Measurement of elliptic flow in sqrt(s_NN)=2.76 TeV PbPb collisions with the ATLAS detector at the LHC.,"Trzupek, Adam","Henryk Niewodniczanski Inst. Nucl. Physics, PAN",UK,"{'_type': 'ContributionParticipation', '_fossil': 'contributionParticipationMetadata', 'first_name': 'Adam', 'last_name': 'Trzupek', 'fullName': 'Trzupek, Adam', 'id': '1896715', 'affiliation': 'Henryk Niewodniczanski Inst. Nucl. Physics, PAN', 'emailHash': 'd623cfbdea887d472bd67ffc8e4b2549', 'db_id': 1896715, 'person_id': 2047017}"
Correlations and fluctuations,parallel,Initial condition fluctuations in heavy ion collisions,"Mota, Philippe","Institut für Theoretische Physik, Goethe-Universität",Unknown,"{'_type': 'ContributionParticipation', '_fossil': 'contributionParticipationMetadata', 'first_name': 'Philippe', 'last_name': 'Mota', 'fullName': 'Mota, Philippe', 'id': '1896719', 'affiliation': 'Institut für Theoretische Physik, Goethe-Universität', 'emailHash': 'a395fec25a61ea1549afc4560d09b5a1', 'db_id': 1896719, 'person_id': 2047020}"
