Session,Type,Title,Speaker,Institute,Country,Raw_Speaker_Data
QCD phase diagram,parallel,Probing dense matter in compact star cores with radio pulsar data,"Schwenzer, Kai",W,Unknown,"{'_type': 'ContributionParticipation', '_fossil': 'contributionParticipationMetadata', 'first_name': 'Kai', 'last_name': 'Schwenzer', 'fullName': 'Schwenzer, Kai', 'id': '1729474', 'affiliation': 'W', 'emailHash': 'd524f430cf5508a98bea5dabc310f6f8', 'db_id': 1729474, 'person_id': 1867477}"
QCD phase diagram,parallel,Locating the CEP,"Fischer, Christian",JLU Giessen,Unknown,"{'_type': 'ContributionParticipation', '_fossil': 'contributionParticipationMetadata', 'first_name': 'Christian', 'last_name': 'Fischer', 'fullName': 'Fischer, Christian', 'id': '1728419', 'affiliation': 'JLU Giessen', 'emailHash': '5cdb4df30d3dab473e8fbdb14b3eb106', 'db_id': 1728419, 'person_id': 1867675}"
Heavy flavor,parallel,Heavy quark physics measurements with the PHENIX Detector,"Dion, Alan",Stony Brook University,USA,"{'_type': 'ContributionParticipation', '_fossil': 'contributionParticipationMetadata', 'first_name': 'Alan', 'last_name': 'Dion', 'fullName': 'Dion, Alan', 'id': '1728170', 'affiliation': 'Stony Brook University', 'emailHash': '1337610cc5143b1963856de7878c564a', 'db_id': 1728170, 'person_id': 1867446}"
Correlations and fluctuations,parallel,Emission angle and particle mass dependence of HBT Interferometry in  Au$+$Au collisions at $\sqrt{s_{NN}} = 200$ GeV,"Esumi, Shinichi",University of Tsukuba (JP),UK,"{'_type': 'ContributionParticipation', '_fossil': 'contributionParticipationMetadata', 'first_name': 'Shinichi', 'last_name': 'Esumi', 'fullName': 'Esumi, Shinichi', 'id': '1728164', 'affiliation': 'University of Tsukuba (JP)', 'emailHash': '61a9cd2ad0c1de2f64b496e7fbf494c4', 'db_id': 1728164, 'person_id': 1867440}"
Collective dynamics,parallel,"Transverse energy distributions at mid-rapidity in   $p$$+$$p$, $d$$+$Au, and Au$+$Au collisions at $\sqrt{s_{NN}} =   $62.4--200 GeV and implications for particle production models","Tannenbaum, Michael",Brookhaven National Laboratory (US),USA,"{'_type': 'ContributionParticipation', '_fossil': 'contributionParticipationMetadata', 'first_name': 'Michael', 'last_name': 'Tannenbaum', 'fullName': 'Tannenbaum, Michael', 'id': '1728169', 'affiliation': 'Brookhaven National Laboratory (US)', 'emailHash': 'f5040b1a1d6827ac1f550dd2ef020e28', 'db_id': 1728169, 'person_id': 1867445}"
Collective dynamics,parallel,Flow in Cu+Au collisions and unique tests of 3D medium evolution,"Nakagomi, Hiroshi",Tsukuba University,UK,"{'_type': 'ContributionParticipation', '_fossil': 'contributionParticipationMetadata', 'first_name': 'Hiroshi', 'last_name': 'Nakagomi', 'fullName': 'Nakagomi, Hiroshi', 'id': '1728171', 'affiliation': 'Tsukuba University', 'emailHash': 'ca3ea0f2200a23368ac1090080c91291', 'db_id': 1728171, 'person_id': 1867447}"
Electromagnetic probes,parallel,Photon suppression and dilepton enhancement in semi-QGP,"Lin, Shu",RIKEN BNL,USA,"{'_type': 'ContributionParticipation', '_fossil': 'contributionParticipationMetadata', 'first_name': 'Shu', 'last_name': 'Lin', 'fullName': 'Lin, Shu', 'id': '1728188', 'affiliation': 'RIKEN BNL', 'emailHash': 'b82b56d0cece87f77433e6295ba230e6', 'db_id': 1728188, 'person_id': 1867464}"
Collective dynamics,parallel,A perturbative approach to hydrodynamics,"Floerchinger, Stefan",CERN,Switzerland,"{'_type': 'ContributionParticipation', '_fossil': 'contributionParticipationMetadata', 'first_name': 'Stefan', 'last_name': 'Floerchinger', 'fullName': 'Floerchinger, Stefan', 'id': '1728211', 'affiliation': 'CERN', 'emailHash': '05a310e34cb03df7737f0eded389c6b3', 'db_id': 1728211, 'person_id': 1867487}"
Heavy flavor,parallel,"Bottomonia in pp, pPb and PbPb with CMS","Valiyavalappil Kizhakkepura, Abdulla Abdulsalam",Bhabha Atomic Research Centre (IN),Unknown,"{'_type': 'ContributionParticipation', '_fossil': 'contributionParticipationMetadata', 'first_name': 'Abdulla Abdulsalam', 'last_name': 'Valiyavalappil Kizhakkepura', 'fullName': 'Valiyavalappil Kizhakkepura, Abdulla Abdulsalam', 'id': '1728271', 'affiliation': 'Bhabha Atomic Research Centre (IN)', 'emailHash': '59193a8a67bd189379dae5f817ab00ad', 'db_id': 1728271, 'person_id': 1867543}"
Jets,parallel,Jet and charged hadron nuclear modification factors in pPb and PbPb collisions with CMS,"Appelt, Eric Andrew",Vanderbilt University (US),USA,"{'_type': 'ContributionParticipation', '_fossil': 'contributionParticipationMetadata', 'first_name': 'Eric Andrew', 'last_name': 'Appelt', 'fullName': 'Appelt, Eric Andrew', 'id': '1728272', 'affiliation': 'Vanderbilt University (US)', 'emailHash': 'cc9b091dba1d6bb9a3f5508bee25df56', 'db_id': 1728272, 'person_id': 1867544}"
Jets,parallel,"Studies of dijet and photon-jet properties in pp, pPb and PbPb collisions with CMS","Barbieri, Richard Alexander",Massachusetts Inst. of Technology (US),USA,"{'_type': 'ContributionParticipation', '_fossil': 'contributionParticipationMetadata', 'first_name': 'Richard Alexander', 'last_name': 'Barbieri', 'fullName': 'Barbieri, Richard Alexander', 'id': '1728275', 'affiliation': 'Massachusetts Inst. of Technology (US)', 'emailHash': 'e4b2a0415b76b321b3ac747f73f30556', 'db_id': 1728275, 'person_id': 1867547}"
Jets,parallel,Jet-track correlation in PbPb collisions with CMS,"Gulhan, Doga Can",Massachusetts Inst. of Technology (US),USA,"{'_type': 'ContributionParticipation', '_fossil': 'contributionParticipationMetadata', 'first_name': 'Doga Can', 'last_name': 'Gulhan', 'fullName': 'Gulhan, Doga Can', 'id': '1728279', 'affiliation': 'Massachusetts Inst. of Technology (US)', 'emailHash': '1557cac6b6a26dfa03d2cef8e63a0f02', 'db_id': 1728279, 'person_id': 1867551}"
Jets,parallel,b-jet tagged nuclear modification factors in heavy ion collisions with CMS,"Jung, Kurt Eduard",Purdue University (US),USA,"{'_type': 'ContributionParticipation', '_fossil': 'contributionParticipationMetadata', 'first_name': 'Kurt Eduard', 'last_name': 'Jung', 'fullName': 'Jung, Kurt Eduard', 'id': '1728280', 'affiliation': 'Purdue University (US)', 'emailHash': '662f67b3dc3c07c49324873e9c1e0c10', 'db_id': 1728280, 'person_id': 1867552}"
Correlations and fluctuations,parallel,"Magnetohydrodynamics, charged currents and directed flow in heavy ion collisions","Gursoy, Umut",University of Utrecht (NL),Unknown,"{'_type': 'ContributionParticipation', '_fossil': 'contributionParticipationMetadata', 'first_name': 'Umut', 'last_name': 'Gursoy', 'fullName': 'Gursoy, Umut', 'id': '1728312', 'affiliation': 'University of Utrecht (NL)', 'emailHash': '09e90866d9394eec312cf38d0448eabe', 'db_id': 1728312, 'person_id': 1867584}"
Jets,parallel,"Zeroing in on the initial state - tomography combining bulk, jet and electromagnetic observables","Renk, Thorsten",University of Jyväskylä,Unknown,"{'_type': 'ContributionParticipation', '_fossil': 'contributionParticipationMetadata', 'first_name': 'Thorsten', 'last_name': 'Renk', 'fullName': 'Renk, Thorsten', 'id': '1728315', 'affiliation': 'University of Jyväskylä', 'emailHash': '8630df57e574e58d6aa3c8ac319b3b22', 'db_id': 1728315, 'person_id': 1867587}"
Approach to equilibrium,parallel,Equilibration of anisotropic quark-gluon plasma produced by decays of color flux tubes,"Florkowski, Wojciech","Institute of nuclear Physics, Krakow",UK,"{'_type': 'ContributionParticipation', '_fossil': 'contributionParticipationMetadata', 'first_name': 'Wojciech', 'last_name': 'Florkowski', 'fullName': 'Florkowski, Wojciech', 'id': '1728316', 'affiliation': 'Institute of nuclear Physics, Krakow', 'emailHash': 'b0bec4b17ad65c9ae09dea09a55d59da', 'db_id': 1728316, 'person_id': 1867557}"
New theoretical developments,parallel,Center Domains and Their Phenomenological Consequences in Ultrarelativistic Heavy Ion Collisions,"Asakawa, Masayuki",Osaka University,Unknown,"{'_type': 'ContributionParticipation', '_fossil': 'contributionParticipationMetadata', 'first_name': 'Masayuki', 'last_name': 'Asakawa', 'fullName': 'Asakawa, Masayuki', 'id': '1728318', 'affiliation': 'Osaka University', 'emailHash': 'b660e43f8c6cb460bde0b2c079b4a796', 'db_id': 1728318, 'person_id': 1867589}"
Initial state physics,parallel,Decoherence between the initial and final state radiation in a dense QCD medium,"Martinez Guerrero, Mauricio",The Ohio State University,USA,"{'_type': 'ContributionParticipation', '_fossil': 'contributionParticipationMetadata', 'first_name': 'Mauricio', 'last_name': 'Martinez Guerrero', 'fullName': 'Martinez Guerrero, Mauricio', 'id': '1728325', 'affiliation': 'The Ohio State University', 'emailHash': '2c40c9917457db3a0dc0510e7cf72a2f', 'db_id': 1728325, 'person_id': 1867594}"
QCD phase diagram,parallel,Baseline for the energy dependence of higher moments of net-proton multiplicity distributions,"Luo, Xiaofeng",Central China Normal University,Unknown,"{'_type': 'ContributionParticipation', '_fossil': 'contributionParticipationMetadata', 'first_name': 'Xiaofeng', 'last_name': 'Luo', 'fullName': 'Luo, Xiaofeng', 'id': '1728330', 'affiliation': 'Central China Normal University', 'emailHash': 'd83c97960f73618c5f701f1551cc896f', 'db_id': 1728330, 'person_id': 1867598}"
New theoretical developments,parallel,New approach to lattice QCD thermodynamics from Yang-Mills gradient flow,"Hatsuda, Tetsuo",RIKEN,Unknown,"{'_type': 'ContributionParticipation', '_fossil': 'contributionParticipationMetadata', 'first_name': 'Tetsuo', 'last_name': 'Hatsuda', 'fullName': 'Hatsuda, Tetsuo', 'id': '1728487', 'affiliation': 'RIKEN', 'emailHash': 'c7c32edba601e312f56ada75cf32ab82', 'db_id': 1728487, 'person_id': 1867735}"
Heavy flavor,parallel,"Open charmed hadron production in p+p, Au+Au and U+U collisions at STAR","Ye, Zhenyu",University of Illinois at Chicago,USA,"{'_type': 'ContributionParticipation', '_fossil': 'contributionParticipationMetadata', 'first_name': 'Zhenyu', 'last_name': 'Ye', 'fullName': 'Ye, Zhenyu', 'id': '1728357', 'affiliation': 'University of Illinois at Chicago', 'emailHash': 'f5bc719bfda3307ba471935436712d90', 'db_id': 1728357, 'person_id': 1867623}"
QCD phase diagram,parallel,PHENIX beam energy scan results,"Soltz, Ron",Lawrence Livermore Nat. Laboratory (US),United States,"{'_type': 'ContributionParticipation', '_fossil': 'contributionParticipationMetadata', 'first_name': 'Ron', 'last_name': 'Soltz', 'fullName': 'Soltz, Ron', 'id': '1728377', 'affiliation': 'Lawrence Livermore Nat. Laboratory (US)', 'emailHash': '4461fcd6650e36587ab3679acbf9cd36', 'db_id': 1728377, 'person_id': 1867641}"
Electromagnetic probes,parallel,Centrality dependence of soft photon production and its collective  flow in Au$+$Au collisions at $\sqrt{s_{NN}} = 200$ GeV,"Mizuno, Sanshiro",University of Tsukuba (JP),UK,"{'_type': 'ContributionParticipation', '_fossil': 'contributionParticipationMetadata', 'first_name': 'Sanshiro', 'last_name': 'Mizuno', 'fullName': 'Mizuno, Sanshiro', 'id': '1728385', 'affiliation': 'University of Tsukuba (JP)', 'emailHash': '3573f0a85e47c22ee2b7c3c231fd27db', 'db_id': 1728385, 'person_id': 1867646}"
Heavy flavor,parallel,"Measurement of single electrons from heavy flavor   decays from $p$$+$$p$, $d$$+$Au, and Cu$+$Cu collisions in the   PHENIX experiment","Lim, Sanghoon",Yonsei University,KR,"{'_type': 'ContributionParticipation', '_fossil': 'contributionParticipationMetadata', 'first_name': 'Sanghoon', 'last_name': 'Lim', 'fullName': 'Lim, Sanghoon', 'id': '1728387', 'affiliation': 'Yonsei University', 'emailHash': '900ea421021a5473633d3030865781a9', 'db_id': 1728387, 'person_id': 1867478}"
Collective dynamics,parallel,"Spectra of identified particles, geometry categorization and bias, and global observables in d+Au collisions","Campbell, Sarah",Iowa State University,USA,"{'_type': 'ContributionParticipation', '_fossil': 'contributionParticipationMetadata', 'first_name': 'Sarah', 'last_name': 'Campbell', 'fullName': 'Campbell, Sarah', 'id': '1728389', 'affiliation': 'Iowa State University', 'emailHash': '9f2b38a6a844c823e59cb40d6fb770ac', 'db_id': 1728389, 'person_id': 1867647}"
Heavy flavor,parallel,"The fate of the weakly bound $\psi'$ in $p$$+$$p$, $d$$+$Au, A$+$A collisions","Durham, J. Matthew",Los Alamos National Laboratory,USA,"{'_type': 'ContributionParticipation', '_fossil': 'contributionParticipationMetadata', 'first_name': 'J. Matthew', 'last_name': 'Durham', 'fullName': 'Durham, J. Matthew', 'id': '1728390', 'affiliation': 'Los Alamos National Laboratory', 'emailHash': '9f7df025a17bd14ff5a7a77daa7f3b5e', 'db_id': 1728390, 'person_id': 1867648}"
Correlations and fluctuations,parallel,Long range rapidity correlations and $v_2$ of identified particles in $d$$+$Au collisions,"huang, shengli",PHENIX Collaboration,Unknown,"{'_type': 'ContributionParticipation', '_fossil': 'contributionParticipationMetadata', 'first_name': 'shengli', 'last_name': 'huang', 'fullName': 'huang, shengli', 'id': '1728391', 'affiliation': 'PHENIX Collaboration', 'emailHash': '232d72ce325894ba2f5f38f8c30e503f', 'db_id': 1728391, 'person_id': 1867649}"
Correlations and fluctuations,parallel,HBT and collective flow at mid-rapidity in $d$$+$Au collisions,"AJITANAND, Nuggehalli",Stony Brook University,USA,"{'_type': 'ContributionParticipation', '_fossil': 'contributionParticipationMetadata', 'first_name': 'Nuggehalli', 'last_name': 'AJITANAND', 'fullName': 'AJITANAND, Nuggehalli', 'id': '1728392', 'affiliation': 'Stony Brook University', 'emailHash': '9da2206287e955cf12c0eca3ef2f467b', 'db_id': 1728392, 'person_id': 1867650}"
Jets,parallel,Jet quenching from the lattice,"Panero, Marco",IFT UAM/CSIC,Unknown,"{'_type': 'ContributionParticipation', '_fossil': 'contributionParticipationMetadata', 'first_name': 'Marco', 'last_name': 'Panero', 'fullName': 'Panero, Marco', 'id': '1728414', 'affiliation': 'IFT UAM/CSIC', 'emailHash': 'f7fafad51d7c482dfbf3bb9613e3ae59', 'db_id': 1728414, 'person_id': 1867670}"
Heavy flavor,parallel,Heavy-flavour production and nuclear modification factor in Pb-Pb collisions at $\sqrt{s_{\rm NN}}$ =2.76 TeV with ALICE,"Festanti, Andrea",Universita e INFN (IT),Italy,"{'_type': 'ContributionParticipation', '_fossil': 'contributionParticipationMetadata', 'first_name': 'Andrea', 'last_name': 'Festanti', 'fullName': 'Festanti, Andrea', 'id': '1728420', 'affiliation': 'Universita e INFN (IT)', 'emailHash': '18cdfaa58b9b0e724eb6928daef350f0', 'db_id': 1728420, 'person_id': 1867676}"
Electromagnetic probes,parallel,Thermal photon $v_3$ at LHC from event-by-event hydrodynamics,"Chatterjee, Rupa",Variable Energy Cyclotron Centre,Unknown,"{'_type': 'ContributionParticipation', '_fossil': 'contributionParticipationMetadata', 'first_name': 'Rupa', 'last_name': 'Chatterjee', 'fullName': 'Chatterjee, Rupa', 'id': '1728431', 'affiliation': '', 'emailHash': '641dd4c47ff16b98a37c70846715855d', 'db_id': 1728431, 'person_id': 1867686}"
Jets,parallel,Semi-inclusive recoil jet distribution and di-jets imbalance  measurements in central Au+Au collisions in STAR,"Putschke, Joern",Wayne State University,United States,"{'_type': 'ContributionParticipation', '_fossil': 'contributionParticipationMetadata', 'first_name': 'Joern', 'last_name': 'Putschke', 'fullName': 'Putschke, Joern', 'id': '1728439', 'affiliation': 'Wayne State University', 'emailHash': 'f74feb8e490fe644e4f46de0f8939d3a', 'db_id': 1728439, 'person_id': 1867693}"
Initial state physics,parallel,"Searching for the ""Ridge"" in d+Au collisions at RHIC by STAR","Yi, Li",Purdue University,Unknown,"{'_type': 'ContributionParticipation', '_fossil': 'contributionParticipationMetadata', 'first_name': 'Li', 'last_name': 'Yi', 'fullName': 'Yi, Li', 'id': '1728448', 'affiliation': '', 'emailHash': 'f110e47142f7d5e1456d1f3defb03360', 'db_id': 1728448, 'person_id': 1867701}"
Correlations and fluctuations,parallel,"Freeze-out radii extracted using two- and three-pion Bose-Einstein correlations in pp, p-Pb, and Pb-Pb collisions at the LHC","Gangadharan, Dhevan Raja",Lawrence Berkeley National Lab. (US),USA,"{'_type': 'ContributionParticipation', '_fossil': 'contributionParticipationMetadata', 'first_name': 'Dhevan Raja', 'last_name': 'Gangadharan', 'fullName': 'Gangadharan, Dhevan Raja', 'id': '1728449', 'affiliation': 'Lawrence Berkeley National Lab. (US)', 'emailHash': '1985de7fea4eceaaf00e539b168d38e7', 'db_id': 1728449, 'person_id': 1867702}"
Correlations and fluctuations,parallel,"Flow harmonics in Pb+Pb collisions at energy of sqrt(sNN) = 2,76 TeV with the ATLAS detector","Derendarz, Dominik Karol",Polish Academy of Sciences (PL),Poland,"{'_type': 'ContributionParticipation', '_fossil': 'contributionParticipationMetadata', 'first_name': 'Dominik Karol', 'last_name': 'Derendarz', 'fullName': 'Derendarz, Dominik Karol', 'id': '1728455', 'affiliation': 'Polish Academy of Sciences (PL)', 'emailHash': '11832d8898ef11de86a67bbca886a067', 'db_id': 1728455, 'person_id': 1867708}"
Collective dynamics,parallel,"Light flavor hadron spectra at low-$p_{\rm T}$ and search for collective phenomena in high multiplicity pp, p-Pb and Pb-Pb collisions measured with the ALICE experiment","Andrei, Cristian",IFIN-HH Bucharest (RO),RO,"{'_type': 'ContributionParticipation', '_fossil': 'contributionParticipationMetadata', 'first_name': 'Cristian', 'last_name': 'Andrei', 'fullName': 'Andrei, Cristian', 'id': '1728456', 'affiliation': 'IFIN-HH Bucharest (RO)', 'emailHash': '6d18f288f3d77a95804286c5b50165de', 'db_id': 1728456, 'person_id': 1867709}"
Jets,parallel,"Centrality, rapidity and pT dependence of isolated prompt photon production in lead-lead collisions at sqrt(sNN)= 2.76 TeV with the ATLAS detector at the LHC","Steinberg, Peter Alan",Brookhaven National Laboratory (US),USA,"{'_type': 'ContributionParticipation', '_fossil': 'contributionParticipationMetadata', 'first_name': 'Peter Alan', 'last_name': 'Steinberg', 'fullName': 'Steinberg, Peter Alan', 'id': '1728457', 'affiliation': 'Brookhaven National Laboratory (US)', 'emailHash': '47b904d74c150449d5653db6cc3fabfe', 'db_id': 1728457, 'person_id': 1867710}"
Correlations and fluctuations,parallel,QGP properties from flow and correlations,"Nonaka, Chiho",Nagoya University,Unknown,"{'_type': 'ContributionParticipation', '_fossil': 'contributionParticipationMetadata', 'first_name': 'Chiho', 'last_name': 'Nonaka', 'fullName': 'Nonaka, Chiho', 'id': '1728479', 'affiliation': 'Nagoya University', 'emailHash': 'fc355eb064b8b8f97137ef98a01e52ca', 'db_id': 1728479, 'person_id': 1867729}"
QCD phase diagram,parallel,"Energy dependence of higher moments of net-kaon, net-proton and net-charge multiplicity distribution at STAR","SARKAR, AMAL",iit-bombay,Unknown,"{'_type': 'ContributionParticipation', '_fossil': 'contributionParticipationMetadata', 'first_name': 'AMAL', 'last_name': 'SARKAR', 'fullName': 'SARKAR, AMAL', 'id': '1728500', 'affiliation': 'iit-bombay', 'emailHash': '691d0ce6fc08bf9164b61fbb3a836160', 'db_id': 1728500, 'person_id': 1867750}"
Collective dynamics,parallel,Beam energy dependence of the viscous damping of anisotropic flow,"Lacey, Roy",Stony Brook University,USA,"{'_type': 'ContributionParticipation', '_fossil': 'contributionParticipationMetadata', 'first_name': 'Roy', 'last_name': 'Lacey', 'fullName': 'Lacey, Roy', 'id': '1728506', 'affiliation': 'Stony Brook University', 'emailHash': 'c1129d5060eac3f589873103b9f63418', 'db_id': 1728506, 'person_id': 1867756}"
New theoretical developments,parallel,Rapidity evolution of Wilson lines at the next-to-leading order: Balitsky-JIMWLK equation at NLO,"Chirilli, Giovanni Antonio",The Ohio State University,USA,"{'_type': 'ContributionParticipation', '_fossil': 'contributionParticipationMetadata', 'first_name': 'Giovanni Antonio', 'last_name': 'Chirilli', 'fullName': 'Chirilli, Giovanni Antonio', 'id': '1728507', 'affiliation': 'The Ohio State University', 'emailHash': 'df331c05bd31806ed56863b9908fde8f', 'db_id': 1728507, 'person_id': 1867757}"
Heavy flavor,parallel,Gluon radiation by heavy quarks at intermediate energies,"Gossiaux, Pol",Subatech,Unknown,"{'_type': 'ContributionParticipation', '_fossil': 'contributionParticipationMetadata', 'first_name': 'Pol', 'last_name': 'Gossiaux', 'fullName': 'Gossiaux, Pol', 'id': '1728509', 'affiliation': 'Subatech', 'emailHash': '1a9c947a7e48adf5553a5c2200aa8b14', 'db_id': 1728509, 'person_id': 1867753}"
Heavy flavor,parallel,J/$\psi$ production in p-Pb collisions with ALICE at the LHC,"Martin Blanco, Javier",Laboratoire de Physique Subatomique et des Technologies Associe,Unknown,"{'_type': 'ContributionParticipation', '_fossil': 'contributionParticipationMetadata', 'first_name': 'Javier', 'last_name': 'Martin Blanco', 'fullName': 'Martin Blanco, Javier', 'id': '1728527', 'affiliation': 'Laboratoire de Physique Subatomique et des Technologies Associe', 'emailHash': '7d2f02d0f3b5730202ec9a9a65c7eef1', 'db_id': 1728527, 'person_id': 1867771}"
Heavy flavor,parallel,$\Upsilon$ production in hadronic collisions with ALICE at the LHC,"Castillo Castellanos, Javier","CEA/IRFU,Centre d'etude de Saclay Gif-sur-Yvette (FR)",Unknown,"{'_type': 'ContributionParticipation', '_fossil': 'contributionParticipationMetadata', 'first_name': 'Javier', 'last_name': 'Castillo Castellanos', 'fullName': 'Castillo Castellanos, Javier', 'id': '1728528', 'affiliation': ""CEA/IRFU,Centre d'etude de Saclay Gif-sur-Yvette (FR)"", 'emailHash': '28a5daf5ce2aaa7efc17c40bd26fc69a', 'db_id': 1728528, 'person_id': 1867772}"
New theoretical developments,parallel,Thermalization of over-occupied gluons,"Kurkela, Eero Aleksi",CERN,Switzerland,"{'_type': 'ContributionParticipation', '_fossil': 'contributionParticipationMetadata', 'first_name': 'Eero Aleksi', 'last_name': 'Kurkela', 'fullName': 'Kurkela, Eero Aleksi', 'id': '1728770', 'affiliation': 'CERN', 'emailHash': 'eb8095b42de4180e52f281f3a394f7e4', 'db_id': 1728770, 'person_id': 1867941}"
Collective dynamics,parallel,Elliptic flow and nuclear modification factor within a partonic transport model,"Senzel, Florian",Goethe-Universität Frankfurt,Unknown,"{'_type': 'ContributionParticipation', '_fossil': 'contributionParticipationMetadata', 'first_name': 'Florian', 'last_name': 'Senzel', 'fullName': 'Senzel, Florian', 'id': '1728591', 'affiliation': 'Goethe-Universität Frankfurt', 'emailHash': 'a8e39f3c122d849535a618c46a5e4d92', 'db_id': 1728591, 'person_id': 1867538}"
Jets,parallel,NLO transverse momentum broadening and QCD evolution of qhat,"Xing, Hongxi",LANL,USA,"{'_type': 'ContributionParticipation', '_fossil': 'contributionParticipationMetadata', 'first_name': 'Hongxi', 'last_name': 'Xing', 'fullName': 'Xing, Hongxi', 'id': '1728606', 'affiliation': 'LANL', 'emailHash': '205b87e3f72effb3a38bbf7b5bb23107', 'db_id': 1728606, 'person_id': 1867816}"
