year,indico_id,name,affiliation,country
2017,433345,Gergely Gabor Barnafoldi,Wigner RCP Hungarian Academy of Sciences (HU),HU
2017,433345,Giacomo Contin,Lawrence Berkeley National Lab. (US),US
2017,433345,Gian Michele Innocenti,Massachusetts Inst. of Technology (US),US
2017,433345,Gianluca Usai,"University of Cagliari e INFN, Cagliari (IT)",IT
2017,433345,Gines Martinez-Garcia,Subatech UMR 6457,
2017,433345,Gojko Vujanovic,The Ohio State University,
2017,433345,Gokce Basar,"University of Maryland, College Park",
2017,433345,Gordon Baym,University of Illinois,
2017,433345,Grazyna Odyniec,Lawrence Berkeley National Laboratory,
2017,433345,Greeshma Koyithatta Meethaleveedu,IIT- Indian Institute of Technology (IN),IN
2017,433345,Guang-You Qin,Central China Normal University,
2017,433345,Guannan Xie,LBNL/USTC,
2017,433345,Guilherme Teixeira De Almeida Milhano,LIP-Lisbon & CERN TH,
2017,433345,Gunther Roland,Massachusetts Inst. of Technology (US),US
2017,433345,Gábor Papp,Eötvös University / Institute for Physics,
2017,433345,Haavard Helstrup,Western Norway University of Applied Sciences (NO),NO
2017,433345,Haiwang Yu,New Mexico State University,
2017,433345,Hallie Causey Trauger,University of Illinois at Chicago (US),US
2017,433345,Hamda Cherif,Johann-Wolfgang-Goethe Univ. (DE),DE
2017,433345,Hanlin Li,Wuhan University of Science and Technology & Purdue University,
2017,433345,Hannah Petersen,Frankfurt Institute of Advanced Studies,
2017,433345,Hannu Paukkunen,University of Jyväskylä,
2017,433345,Hao Qiu,Purdue University (US),US
2017,433345,Haojie Xu,Peking University,
2017,433345,Harald Appelshaeuser,Johann-Wolfgang-Goethe Univ. (DE),DE
2017,433345,Harri Niemi,"J. W. Goethe Universität, Frankfurt am Main",
2017,433345,Heidi Schuldes,Goethe-University Frankfurt,
2017,433345,Heikki Mäntysaari,Brookhaven National Laboratory,
2017,433345,Helen Caines,Yale University (US),US
2017,433345,Hendrik Poppenborg,Westfaelische Wilhelms-Universitaet Muenster (DE),DE
2017,433345,Henner Buesching,University of Frankfurt,
2017,433345,hidekazu tsukiji,Yakawa Institute for Theoretical Physics,
2017,433345,Hideki Hamagaki,Nagasaki Inst. of Applied Science (JP),JP
2017,433345,Hidetoshi TAYA,The University of Tokyo,
2017,433345,Hikari Murakami,University of Tokyo (JP),JP
2017,433345,Hiroshi Nakagomi,Tsukuba University,
2017,433345,Hiroshi Ohno,"Center for Computational Sciences, University of Tsukuba",
2017,433345,Hirotsugu Fujii,University of Tokyo,
2017,433345,Ho-Ung Yee,University of Illinois at Chicago / RBRC,
2017,433345,Hongxi Xing,Northwestern University / Argonne National Laboratory,
2017,433345,Horst Sebastian Scheid,Johann-Wolfgang-Goethe Univ. (DE),DE
2017,433345,Hua Pei,Central China Normal University CCNU (CN),CN
2017,433345,huan huang,UCLA,
2017,433345,Hubert van Hecke,Los Alamos National Laboratory,
2017,433345,Huichao Song,Peking University,
2017,433345,Huijun Ge,Stony Brook University,
2017,433345,Hyeonjoong Kim,Yonsei University (KR),KR
2017,433345,Ian Gardner Bearden,University of Copenhagen (DK),DK
2017,433345,Igor Altsybeev,St Petersburg State University (RU),RU
2017,433345,Igor Kozlov,McGill University,
2017,433345,Igor Lakomov,CERN,
2017,433345,Ilkka Helenius,Tübingen University,
2017,433345,In Kwon Yoo,"Dep. of Physics, Pusan National University (KR)",KR
2017,433345,Ingo-Martin Deppner,Physikalisches Institut der Universität Heidelberg,
2017,433345,Ionut Cristian Arsene,University of Oslo (NO),NO
2017,433345,Iouri Vassiliev,GSI,
2017,433345,Irais Bautista Guzman,Autonomous University of Puebla (MX),MX
2017,433345,Isaac Upsal,Ohio State University,
2017,433345,Isobel Kolbe,University of Cape Town,
2017,433345,Israel Portillo,University of Houston,
2017,433345,Itzhak Tserruya,Weizmann Institute of Science (IL),IL
2017,433345,Iurii Karpenko,SUBATECH,
2017,433345,Ivan Kisel,"Frankfurt Institute for Advanced Studies, FIAS",
2017,433345,Ivan Vitev,LANL,
2017,433345,Ivan Vorobyev,Technische Universitaet Muenchen (DE),DE
2017,433345,Iwona Grabowska-Bold,AGH University of Science and Technology (PL),PL
2017,433345,Jacopo Ghiglieri,CERN,
2017,433345,Jacquelyn Noronha-Hostler,University of Houston,
2017,433345,JaeBeom Park,Korea University (KR),KR
2017,433345,Jaehyeon Do,Yonsei university,
2017,433345,Jakub Kvapil,Czech Technical University in Prague,
2017,433345,Jakub Andrzej Kremer,AGH University of Science and Technology (PL),PL
2017,433345,James Brandenburg,Rice University,
2017,433345,James Castle,The University of Kansas (US),US
2017,433345,James Dunlop,Brookhaven National Laboratory,
2017,433345,James Mulligan,Yale University (US),US
2017,433345,Jamie Nagle,University of Colorado Boulder,
2017,433345,Jan Steinheimer,Frankfurt Institute for Advanced Studies,
2017,433345,Jan Fiete Grosse-Oetringhaus,CERN,
2017,433345,Jana Bielcikova,"Nuclear Physics Institute, Czech Academy of Sciences",
2017,433345,Jana Günther,University of Wuppertal,
2017,433345,Jarkko Peuron,University of Jyväskylä,
2017,433345,Jasmine Brewer,Massachusetts Institute of Technology,
2017,433345,Jason Bryslawskyj,University of California Riverside,
2017,433345,Javier Martin Blanco,Centre National de la Recherche Scientifique (FR),FR
2017,433345,Javier Orjuela Koop,University of Colorado Boulder,
2017,433345,Jean-Bernard Rose,Frankfurt Institute for Advanced Studies,
2017,433345,Jean-Francois Paquet,Stony Brook University,
2017,433345,Jennifer Klay,California Polytechnic State Univ. (US),US
2017,433345,Jens-Jorgen Gaardhoeje,"University of Copenhagen (DK), Niels Bohr Institute",
2017,433345,Jeongsu Bok,New Mexico State University,
