name,affiliation,country,year,indico_id
224 Emil Gorm,Nielsen,,2022,895086
225 Govert,Nijs,,2022,895086
226 Stephan,Ochsenfeld,,2022,895086
227 Agnieszka,Ogrodnik,,2022,895086
228 Jongho,Oh,,2022,895086
229 Kosuke,Okubo,,2022,895086
230 Anna,Önnerstad,,2022,895086
231 Antonio,Ortiz Velasquez,,2022,895086
232 Jacek,Otwinowski,,2022,895086
233 Petja,Paakkinen,,2022,895086
234 Daniel,Pablos,,2022,895086
235 Kevin,Pala,,2022,895086
236 Andrea,Palermo,,2022,895086
237 Oleksandra,Panova,,2022,895086
238 Gábor,Papp,,2022,895086
239 Sohyun,Park,,2022,895086
240 Jonghan,Park,,2022,895086
241 Diana,Pawłowska,,2022,895086
242 Michele,Pennisi,,2022,895086
243 Jani,Penttala,,2022,895086
244 Dennis,Perepelitsa,,2022,895086
245 Sebastien,Perrin,,2022,895086
246 Jarkko,Peuron,,2022,895086
247 Philip,Plaschke,,2022,895086
248 Christos,Pliatskas Stylianidis,,2022,895086
249 Stefano,Politano,,2022,895086
250 Patrycja,Potępa,,2022,895086
251 Barnabás,Pórfy,,2022,895086
252 Michal,Praszalowicz,,2022,895086
253 Maximiliano,Puccio,,2022,895086
254 Sara,Pucillo,,2022,895086
255 Shi,Qiu,,2022,895086
257 Jan,Rais,,2022,895086
258 Dario Alberto,Ramirez Zaldivar,,2022,895086
259 Narendra,Rathod,,2022,895086
260 Claudia,Ratti,,2022,895086
261 Krzysztof,Redlich,,2022,895086
262 Rosi,Reed,,2022,895086
263 Fabian,Rennecke,,2022,895086
264 Klaus,Reygers,,2022,895086
265 Valeria Zelina,Reyna Ortiz,,2022,895086
266 Dirk,Rischke,,2022,895086
267 Hendrik,Roch,,2022,895086
268 Dairon,Rodriguez Garces,,2022,895086
269 Adrian,Rodríguez Rodríguez,,2022,895086
270 Martin,Rohrmoser,,2022,895086
271 Diptanil,Roy,,2022,895086
272 Priyanka,Roy Chowdhury,,2022,895086
273 Łukasz,Rozpłochowski,,2022,895086
274 Nicola,Rubini,,2022,895086
275 Anar,Rustamov,,2022,895086
276 Martin,Rybar,,2022,895086
277 Maciej,Rybczyński,,2022,895086
278 Andrzej,Rybicki,,2022,895086
279 Radoslaw,Ryblewski,,2022,895086
280 Heidi,Rytkönen,,2022,895086
281 Jaehyeok,Ryu,,2022,895086
282 Oskari,Saarimäki,,2022,895086
283 Aswini Kumar,Sahoo,,2022,895086
284 Piotr,Salabura,,2022,895086
285 Carlos A.,Salgado,,2022,895086
286 Rupam,Samanta,,2022,895086
287 Debojit,Sarkar,,2022,895086
288 Mike,Sas,,2022,895086
289 Chihiro,Sasaki,,2022,895086
290 Wolfgang,Schäfer,,2022,895086
291 Sebastian,Scheid,,2022,895086
292 Philipp,Schicho,,2022,895086
293 Soeren,Schlichting,,2022,895086
294 Jurgen,Schukraft,,2022,895086
295 Enrico,Scomparin,,2022,895086
296 Blair,Seidlitz,,2022,895086
297 Jinjoo,Seo,,2022,895086
298 Laura,Serksnyte,,2022,895086
299 Syed Uzair Ahmed,Shah,,2022,895086
300 Harsh,Shah,,2022,895086
301 Mahboubeh,Shahrbaf,,2022,895086
302 Meenakshi,Sharma,,2022,895086
303 Himanshu,Sharma,,2022,895086
304 Sheetal,Sharma,,2022,895086
305 Masoud,Shokri,,2022,895086
306 Rajeev,Singh,,2022,895086
307 Bhawani,Singh,,2022,895086
308 Randhir,Singh,,2022,895086
309 Ravindra,Singh,,2022,895086
310 Yuriy,Sinyukov,,2022,895086
311 Patrycja,Słoń,,2022,895086
312 Raimond,Snellings,,2022,895086
313 Alexander,Soloviev,,2022,895086
314 Gabriel,Sophys,,2022,895086
315 Agnieszka,Sorensen,,2022,895086
316 Alba,Soto Ontoso,,2022,895086
317 Michał,Spaliński,,2022,895086
318 Simon,Spies,,2022,895086
319 Iwona,Sputowska,,2022,895086
320 Johanna,Stachel,,2022,895086
321 Andre Govinda,Stahl Leiton,,2022,895086
322 Grzegorz,Stefanek,,2022,895086
323 Maria,Stefaniak,,2022,895086
324 George,Stephans,,2022,895086
325 Milan,Stojanovic,,2022,895086
326 Michael,Strickland,,2022,895086
327 Joachim,Stroth,,2022,895086
328 Antoni,Szczurek,,2022,895086
329 Michal,Szymanski,,2022,895086
330 Paweł,Szymański,,2022,895086
331 Seyed Farid,Taghavi,,2022,895086
332 Adam,Takacs,,2022,895086
333 Janos,Takatsy,,2022,895086
334 Lucia Anna,Tarasovičová,,2022,895086
335 Kaya,Tatar,,2022,895086
336 Cristina,Terrevoli,,2022,895086
337 Mirja,Tevio,,2022,895086
338 Leonardo,Tinti,,2022,895086
339 Boris,Tomášik,,2022,895086
340 Klaudia,Tropp,,2022,895086
341 Enrico,Trotti,,2022,895086
342 Barbara,Trzeciak,,2022,895086
343 Adam,Trzupek,,2022,895086
344 Itzhak,Tserruya,,2022,895086
345 Ludwik,Turko,,2022,895086
346 Wilke,Van der Schee,,2022,895086
347 Andreas,Van Hameren,,2022,895086
348 Hendrik,Van Hees,,2022,895086
349 Marco,Van Leeuwen,,2022,895086
350 Zoltan,Varga,,2022,895086
351 Iouri,Vassiliev,,2022,895086
352 Oton,Vazquez Doce,,2022,895086
353 Omar,Vazquez Rueda,,2022,895086
354 Arthur,Vereijken,,2022,895086
355 Lucas,Vermunt,,2022,895086
356 Robert,Vertesi,,2022,895086
357 Marta,Verweij,,2022,895086
358 Jussi,Viinikainen,,2022,895086
359 Vytautas,Vislavicius,,2022,895086
360 Oleksandr,Vitiuk,,2022,895086
361 Yuriy,Volkotrub,,2022,895086
362 Elena,Volkova,,2022,895086
363 David,Wagner,,2022,895086
364 Quan,Wang,,2022,895086
365 Fuqiang,Wang,,2022,895086
366 Clemens,Werthmann,,2022,895086
367 Daniel,Wielanek,,2022,895086
368 Barbara,Wosiek,,2022,895086
369 Krzysztof,Woźniak,,2022,895086
370 Wenya,Wu,,2022,895086
371 Nu,Xu,,2022,895086
372 Yunxin,Ye,,2022,895086
373 Nima,Zardoshti,,2022,895086
374 Hanna,Zbroszczyk,,2022,895086
375 Dingwei,Zhang,,2022,895086
376 Elizaveta,Zherebtsova,,2022,895086
377 You,Zhou,,2022,895086
378 Grzegorz,Ziarko,,2022,895086
