Last Name	First Name	Affiliation	Country
Cortopassi	Alessandro	CAEN SPA	Italy
Costa	Fulvia	Infn Padova	Italy
Critelli	Renato	University of Sao Paulo - Institute of Physics	Brazil
Cruz-Camacho	Nikolás	Universidad Nacional de Colombia	Colombia
Csernai	Laszlo P.	University of Bergen / IFT	Norway
Cui	Pengyao	Central China Normal University CCNU (CN)	China
Cunqueiro Mendez	Leticia	Oak Ridge National Laboratory - (US)	Switzerland
Cyrol	Anton Konrad	University of Heidelberg	Germany
Czajka	Alina	McGill University/UJK	Poland
D'Elia	Massimo	University of Pisa and INFN	Italy
d'Enterria	David	CERN	Switzerland
da Silva	Cesar	Los Alamos National Lab	United States
Dahms	Torsten	Technische Universitaet Muenchen (DE)	Germany
Dainese	Andrea	INFN - Padova (IT)	Italy
Dasgupta	Pingal	Variable Energy Cyclotron Centre, Kolkata	India
Dash	Ajay Kumar	National Institute of Science Education and Research (IN)	India
Dash	Sadhana	Indian Institute of Technology, Bombay	India
Dashi	Anisa	Excellence Cluster Universe - TUM	Germany
David	Gabor	Stony Brook University	United States
Davis	Nikolaos	Polish Academy of Sciences (PL)	Poland
de Albuquerque	Danilo	UNICAMP	Brazil
De Conti	Camila	Universidade de Sao Paulo (BR)	Brazil
De Falco	Alessandro	Università/INFN Cagliari	Italy
De Marco	Nora	INFN sezione di Torino	Italy
De Souza Lemos	Dener	UNESP - Universidade Estadual Paulista (BR)	Brazil
Delsanto	Silvia	Universita e INFN Torino (IT)	Italy
Denicol	Gabriel	Universidade Federal Fluminense	Brazil
Deppner	Ingo	Physikalisches Institut der Uni Heidelberg	Germany
Derendarz	Dominik Karol	Polish Academy of Sciences (PL)	Poland
Dhankher	Preeti	IIT- Indian Institute of Technology (IN)	India
Diab	Batoul	CNRS, Laboratoire Leprince Ringuet	France
Dietel	Thomas	University of Cape Town (ZA) (UCT)	South Africa
Dillenseger	Pascal	Johann-Wolfgang-Goethe Univ. (DE)	Germany
Ding	Yanchun	Central China Normal University CCNU (CN)	China
Djordjevic	Magdalena	Institute of Physics Belgrade	Serbia
Doenigus	Benjamin	Goethe University Frankfurt	Germany
Doi	Takahiro	RIKEN	Japan
Dolejsi	Jiri	Charles University (CZ)	Czechia
Dong	Xin	Lawrence Berkeley National Laboratory	United States
Drees	Axel	Stony Brook University	United States
Du	Lipei	Ohio State University	United States
Du	Yilun	Frankfurt Institute of Advanced Studies, Goethe University Fran	China
Dubla	Andrea	GSI	Germany
Ducloue	Bertrand	IPhT Saclay	France
Dumancic	Mirta	Weizmann Institute of Science (IL)	Israel
Dunlop	James	Brookhaven National Laboratory	United States
Durham	Matt	Los Alamos National Laboratory	United States
Dusling	Kevin	Physical Review Letters	United States
Ehlers	Raymond	Yale University (US)	United States
Elfner (Petersen)	Hannah	FIAS/GU Frankfurt/GSI	Germany
Elia	Domenico	INFN Bari	Italy
Emschermann	David	GSI (Darmstadt, DE)	Germany
Epple	Eliane	Yale University	United States
Erhardt	Filip	University of Zagreb (HR)	Croatia
Eschke	Juergen	FAIR	Germany
ESCOBEDO ESPINOSA	Miguel angel	University of Jyväskylä	Spain
Eskola	Kari J.	University of Jyvaskyla	Finland
Evdokimov	Anatoly	University of Illinois at Chicago	United States
Evdokimov	Olga	University of Illinois at Chicago (US)	United States
Everett	Derek	Ohio State University	United States
Ewigleben	Justin	Lehigh University	United States
Fadem	Brett	Muhlenberg College	United States
Faggin	Mattia	Universita e INFN, Padova (IT)	Italy
Fai	George	U.S. Department of Energy	United States
Fan	Wenqing	Stony Brook University	United States
Fantoni	Alessandra	INFN e Laboratori Nazionali di Frascati (IT)	Italy
Fecchio	Pietro	Università e INFN Torino (IT)	Italy
Feld	Steffen	Universität Bielefeld	Germany
Feliciello	Alessandro	INFN - Sezione di Torino	Italy
Festanti	Andrea	CERN	Switzerland
Filippi	Alessandra	INFN - Trieste	Italy
Fionda	Fiorella	University of Bergen	Norway
Floerchinger	Stefan	Heidelberg University	Germany
Florkowski	Wojciech	IFJ Krakow & UJK Kielce / Poland	Poland
Foka	Yiota	GSI - Helmholtzzentrum fur Schwerionenforschung GmbH (DE)	Germany
Fragiacomo	Enrico	INFN Trieste	Italy
Fries	Rainer	Texas A&M University	United States
Friesen	Alexandra	Joint Institute for nuclear research	Russia
Friman	Bengt	GSI	Germany
Fukushima	Kenji	The University of Tokyo	Japan
Förtsch	Jörg	University of Wuppertal	Germany
Gaardhoje	Jens-Jorgen	Niels Bohr Institute	Denmark
Galatyuk	Tetyana	TU Darmstadt / GSI	Germany
Gale	Charles	McGill University	Canada
Garcia-Montero	Oscar	Institut für Theoretische Physik- Universität Heidelberg	Germany
Garg	Kunal	Universita e INFN, Catania (IT)	Italy
Garner	Katharina	Westfaelische Wilhelms-Universitaet Muenster (DE)	Germany
Gasik	Piotr	Technische Universität München	Switzerland
Gavai	Rajiv V	Tata Institute, Mumbai, India	India
Geraksiev	Nikolay	JINR	Russia
