First Name	Last Name	Affiliation
Ivan	Vorobyev	Technische Universitaet Muenchen (DE)
Jaebeom	Park	Korea University (KR)
Jagbir	Singh	Panjab University
Jakub	Cimerman	Faculty of Nuclear Sciences and Physical Engineering, Czech Technical University
Jakub	Kvapil	University of Birmingham (GB)
Jamal	Jalilian-Marian	Baruch College, CUNY
James	Dunlop	Brookhaven National Laboratory
James Lawrence	Nagle	University of Colorado Boulder
Jamie	Stafford	University of Houston
Jan	Fotakis	Goethe-University Frankfurt am Main
Jan	Hammelmann	Frankfurt University of Advanced Studies
Jan	Otto	JLU Giessen
Jan	Steinheimer	FIAS
Jan	Vanek	Nuclear Physics Institute, Czech Academy of Sciences
Jan M.	Pawlowski	University of Heidelberg
Jana	Crkovska	Los Alamos National Laboratory (US)
Jana N.	Guenther	University of Regensburg
Jarkko	Peuron	ECT*
Jarkko	Peuron	FBK - Fondazione Bruno Kessler (IT)
Jasmine	Brewer	Massachusetts Institute of Technology
Jasper	Parkkila	University of Jyvaskyla (FI)
Jean-Bernard	Rose	Frankfurt Institute for Advanced Studies
Jean-Francois	Paquet	Duke University
Jean-Paul	Blaizot	CNRS
Jean-Yves	Ollitrault	CNRS
Jens-Jorgen	Gaardhoeje	University of Copenhagen (DK)
Jeongsu	Bok	Inha University (KR)
Jerome	Jung	Johann-Wolfgang-Goethe Univ. (DE)
Jessica	Churchill	McGill University
Jhuma	Ghosh	Saha Institute of Nuclear Physics (IN), HBNI
Ji-Chong	Yang	Liaoning Normal University
Jia	Chen	Shandong University
Jian	Deng	Shandong University
Jian	Zhou	USTC
Jian-Hua	Gao	Shandong University at Weihai
Jiangyong	Jia	Stony brook Universty (US)
Jianhui	Zhu	GSI (DE) & CCNU (CN)
Jianing	Li	Tsinghua University
Jianqiao	Wang	Tsinghua University (CN)
jiaxing	zhao	Tsinghua University
Jiayin	Sun	Tsinghua University
Jiayu	Wu	Guizhou University
Jie	Zhao	Purdue University
Jihye	Song	University of Houston (US)
Jim	Thomas	The National Science Foundation
jin	gui	tsinghua university
Jin	Hu	Tsinghua University
Jin	Huang	Brookhaven National Lab
Jin	Wu	Central China Normal University
Jin Joo	Seo	Inha University (KR)
Jinfeng	Liao	Indiana University
Jing	Wang	Massachusetts Inst. of Technology (US)
Jing	Zhang	CCNU
Jinghua	Fu	ccnu
Jingyi	Chao	Institute of Modern Physics, CAS
Jinjin	Pan	Wayne State University (US)
Jishnu	Goswami	Bielefeld University
Joachim	Stroth	Johann-Wolfgang-Goethe Univ. (DE)
Joel Anthony	Mazer	Rutgers University
Johanna	Stachel	Ruprecht Karls Universitaet Heidelberg (DE)
John	Lajoie	Iowa State University
John William	Harris	Yale University (US)
Jonatan	Adolfsson	Lund University (SE)
Jonathan	Runchey	Iowa State University
Jonghan	Park	Inha University (KR)
Jorge	Noronha	University of Illinois at Urbana-Champaign
Joseph	Adams	Ohio State University
Jovan	Milosevic	University of Belgrade (RS)
Julia	Velkovska	Vanderbilt University (US)
Jun	Xu	Shanghai Advanced Research Institute, CAS
Junjie	He	Shanghai Institute of Applied Physics, Chinese Academy of Sciences
Junjie	ZHANG	USTC
Junlee	Kim	Chonbuk National University (KR)
Jurgen	Schukraft	University of Copenhagen (DK)
Jussi	Viinikainen	University of Illinois at Chicago (US)
Justin	Mohs	FIAS, GSI, Frankfurt University
Kaede	Kamano	Nara Women's University (JP)
Kai	Zhou	FIAS, Goethe-University Frankfurt am Main
KaiJia	Sun	Texas A&M University
Karoly	Uermoessy	IHEP Chinese Academy of Sciences (CN)
Katarina	Krizkova Gajdosova	Czech Technical University (CZ)
Kaya	Tatar	Massachusetts Inst. of Technology (US)
Kayman	Gonçalves	IFGW
ke	mi	Central China Normal University
Keming	Shen	School of Science, East China University of Technology
Kenichi	Tadokoro	University of Tsukuba (JP)
Kenji	Fukushima	The University of Tokyo
Kenshi	Kuroki	Sophia University
Kenta	Shigaki	Hiroshima University (JP)
Kentaro	Nishimura	Keio University
Kie Sang	Jeong	Institute for Nuclear Theory
Kirill	Lapidus	CERN
Kishora	Nayak	Central China Normal University, China
Klaudia	Maj	AGH University of Science and Technology (PL)
Koichi	Murase	Peking University
Konrad	Tywoniuk	University of Bergen (NO)
Kosuke	Okubo	University of Tsukuba
Kouki	Nakamura	Nagoya University
Kousik	Naskar	Bhabha Atomic Research Centre (IN)
Krishna	Rajagopal	Massachusetts Inst. of Technology (US)
Krista	Smith	Florida State University
Kristjan	Gulbrandsen	University of Copenhagen (DK)
Krzysztof	Redlich	University of Wroclaw (PL)
Kun	Jiang	University of Science and Technology of China
Kurt Keys	Hill	University of Colorado Boulder (US)
Langtian	Liu	Peking University
Lanlan	Gao	Fudan University
Larisa	Bravina	University of Oslo (NO)
Larry	McLerran	INT, University of Washington
Laszlo Pal	Csernai	University of Bergen
Laura	Fabbietti	Technische Universitaet Muenchen (DE)
Laura Brittany	Havener	Yale University (US)
le	zhang	Hubei Normal University
Lei	Wang	Central China Normal University
Lei	Yin	South China Normal University, IQM
Leif	Lönnblad	Lund University (SE)
Leonhardt Heinrich	Viebach	Johann-Wolfgang-Goethe Univ. (DE)
Leszek	Kosarzewski	Czech Technical University in Prague
Li	Yan	Fudan University
Liang	Zheng	China University of Geosciences (Wuhan)
Lianyi	He	Department of Physics, Tsinghua University
Lihan	Liu	Vanderbilt University (US)
Lijuan	Ruan	Brookhaven National Laboratory
lijuan	zhou	Guangxi University of Science and Technology
Liliana	Apolinario	LIP (PT)
Lilin	Zhu	Sichuan University
Lin	Chen	Central China Normal University
Ling	Huang	Shanghai Institute of Applied Physics
Lingfeng	Chen	Peking University
Lingxiao	Wang	Tsinghua University/University of Tokyo
Lipei	Du	The Ohio State University
liqiang	zhu	CCNU
Liuyao	Zhang	Shanghai institute of applied physics , CAS
Livio	Bianchi	Universita e INFN Torino (IT)
Lixin	Yang	Sun Yat-sen University
Lokesh	Kumar	Panjab University (IN)
Long	Ma	Fudan University
Long-Gang	Pang	CCNU
Luca	Barioglio	Universita e INFN Torino (IT)
Luca	Micheletti	Universita e INFN Torino (IT)
Lucas	Altenkamper	University of Bergen (NO)
Lucia	Oliva	Institute for Theoretical Physics (ITP), Frankfurt am Main
Lucia Anna	Husova	Westfälische-Wilhelms Universität Münster (DE)
Luciano	Musa	CERN
Luciano	Rezzolla	Institute for Theoretical Physics
Lukas	Kramarik	Czech Technical University (CZ)
Lukas	Kreis	GSI - Helmholtzzentrum für Schwerionenforschung GmbH
Ma	Guo-Liang	Fudan University
Maciej	Rybczynski	Jan Kochanowski University (PL)
Magdalena	Djordjevic	Institute of Physics Belgrade
Maitreyee	Mukherjee	Central China Normal University CCNU (CN)
Maja Katarzyna	Mackowiak-Pawlowska	Warsaw University of Technology (PL)
Mamiya	Kawaguchi	Fudan University
man	xie	Central China Normal University
mao	shijun	Xi'an Jiaotong University
Maowu	Nie	Shandong University (SDU)
Marc	Borrell Martinez	University of Bielefeld
Marcel	Lesch	Technische Universitaet Muenchen (DE)
Marco	Van Leeuwen	Nikhef National institute for subatomic physics (NL)
Maria	Sergeeva	UCLA
Maria Paola	Lombardo	INFN
Martin	Rybar	Columbia University (US)
Martin	Spousta	Charles University
Masahiro	Takamura	University of Tsukuba(JP)
Masakiyo	Kitazawa	Osaka University
Masayuki	Asakawa	Osaka University
Matt	Durham	Los Alamos National Laboratory
Matthew	Kelsey	Lawrence Berkeley National Lab
Matthew	Luzum	University of Sao Paulo
Matthew	Nickel	The University of Kansas (US)
Matthew	Sievert	University of Illinois
Matthias	Kaminski	University of Alabama, Tuscaloosa
Mattia	Faggin	Universita e INFN, Padova (IT)
Mauricio	Hippert	Universidade Estadual de Campinas
Maximiliano	Puccio	CERN
Megan	Connors	Georgia State University and RBRC
Meng	Zhou	Peking University
Mengke	Cai	Central China Normal University CCNU (CN)
Mengquan	Yang	Central China Normal University
Mesut	Arslandok	Ruprecht Karls Universitaet Heidelberg (DE)
Michael	Phipps	Univ. Illinois at Urbana Champaign (US)
Michael	Weber	Stefan Meyer Institute for Subatomic Physics (SMI), Austrian Academy of Sciences (AT)
Michael Florian	Wondrak	Frankfurt Institute for Advanced Studies (FIAS)
Michael Joseph	Peters	Massachusetts Inst. of Technology (US)
Mihaela Gabriela	Besoiu	Institute of Space Science (RO)
Mike	Lisa	Ohio State University (US)
Mike Henry Petrus	Sas	Nikhef National institute for subatomic physics (NL)
Miklos	Gyulassy	Columbia U, LBNL, CCNU,Wigner
Miklós	Horváth	CCNU IoPP, Wuhan
Min	He	Nanjing University of Science & Technology
Ming	Li	Peking University
Ming	Shao	Univ. of Sci. and Tech. of China
Ming Xiong	Liu	Los Alamos National Laboratory
Mingrui	Zhao	China Institute of Atomic Energy (CN)
Misha	Stephanov	UIC
Mohammad	Nasim	IISER Berhampur
Molly	Taylor	Massachusetts Inst. of Technology (US)
Mubarak	Alqahtani	Imam Abdulrahman Bin Faisal University
Muhammad Usman	Ashraf	CCNU/Tsinghua University
Muhammed Ikram	Shahzad	COMSATS University Islamabad (PK)
Mustafa	Anaam	Central China Normal University CCNU (CN)
Nadia	Barnard	University of Cape Town
Najmul	Haque	NISER, India
Nicole	Apadula	Lawrence Berkeley National Lab. (US)
Nicole	Bastid	LPC/UCA Clermont-Ferrand (France)
NIHAR RANJAN	Sahoo	Shandong University
Niklas	Mueller	Brookhaven National Laboratory
Nikolay	Geraksiev	Plovdiv University Paisii Hilendarski, Joint Institute for Nuclear Research
Nikolay	Karpushkin	Russian Academy of Sciences (RU)
Nima	Zardoshti	CERN
Nina	Kersting	Bielefeld University
Ning	Yu	Xinyang Normal University
NingBo	Chang	Xinyang Normal University
Niseem	Abdelrahman	University of Illinois at Chicago
Nora	Weickgenannt	Goethe University Frankfurt
Norbert	Novitzky	University of Tsukuba (JP)
Norbert Willi	Herrmann	Ruprecht Karls Universitaet Heidelberg (DE)
Nu	Xu	Central China Normal University / LBNL
Olaf	Kaczmarek	University of Bielefeld
Oleg	Golosov	MEPhI (RU)
Oleksandr	Vitiuk	Taras Shevchenko National University of Kyiv and Uniersity of Oslo
Olga	Evdokimov	University of Illinois at Chicago (US)
Oliver	Matonoha	Lund University (SE)
Omar	Vazquez Rueda	Lund University (SE)
Oskari Antti Matti	Saarimaki	Helsinki Institute of Physics (FI)
Osnan	Maragoto Rodriguez	Goethe University Frankfurt am Main
Panos	Christakoglou	Nikhef National institute for subatomic physics (NL)
Paolo	Parotto	University of Wuppertal
Pasquale	Di Nezza	INFN e Laboratori Nazionali di Frascati (IT)
Patrick	Huhn	Johann-Wolfgang-Goethe Univ. (DE)
Patrick	Pfistner	KIT
Paul	Caucal	IPhT
Paula	Hillmann	Frankfurt Institute for Advanced Studies
Pavel	Larionov	INFN e Laboratori Nazionali di Frascati (IT)
Peifeng	Liu	Stony Brook University
Peng	Liu	Shanghai Institute of Applied Physics, Chinese Academy of Sciences
Peng	Ru	South China Normal University
Pengfei	Wang	USTC/BNL
Pengqi	Yin	Columbia University (US)
Pengyao	Cui	Central China Normal University CCNU (CN)
Pengyu	Ren	Shanghai Institute of Applied Physics, Chinese Academy of Science
Peter	Braun-Munzinger	GSI - Helmholtzzentrum fur Schwerionenforschung GmbH (DE)
Peter	Christiansen	Lund University (SE)
Peter	Senger	CCNU
Peter Alan	Steinberg	Brookhaven National Laboratory (US)
Peter Martin	Jacobs	Lawrence Berkeley National Lab. (US)
Petja	Paakkinen	Universidade de Santiago de Compostela
Philipp	Gubler	JAEA
Pierre	Moreau	Duke University
Pierre-Alain	Loizeau	GSI - Helmholtzzentrum fur Schwerionenforschung GmbH (DE)
Prabhakar	Palni	AGH University of Science and Technology (PL)
Pragya	Singh	University of Bielefeld
Prakhar	Garg	Stony Brook University, NY, USA
Prashant Kumar	Srivastava	Indian Institute of Technology Ropar
Prithwish	Tribedy	Brookhaven National Lab
Qian	Chen	Shanghai Institute of Applied Physics
Qian	Yang	Shandong University
Qiang	Hu	Institute of Modern Physics,CAS
Qiao	Xu	Vanderbilt University (US)
Qing	Zhang	CCNU
Qingfei	Han	CCNU
Qiye	Shou	Fudan University
Qun	Wang	University of Science and Technology of China
Raghav	Kunnawalkam Elayavalli	Wayne State University
Raghunath	Sahoo	Indian Institute of Technology Indore (IN)
Raimond	Snellings	Nikhef National institute for subatomic physics (NL)
Rainer	Fries	Texas A&M University
Raju	Venugopalan	Brookhaven National Laboratory
Ralf	Averbeck	GSI - Helmholtzzentrum für Schwerionenforschung GmbH (DE)
Ralf-Arno	Tripolt	Goethe University Frankfurt
Ran	Bi	Massachusetts Inst. of Technology (US)
Ran	Xu	Central China Normal University CCNU (CN)
Randhir	Singh	University of Jammu (IN)
Ranjit	Nayak	IIT- Indian Institute of Technology (IN)
Rashmi	Raniwala	University of Rajasthan (IN)
Rasmus	Larsen	Brookhaven National Laboratory
Rene	Bellwied	University of Houston (US)
Renjie	Wang	University of Science and Technology of China
Renu	Bala	University of Jammu (IN)
Richard	Lednicky	Joint Institute for Nuclear Research, Dubna, Russia
Rishi	Sharma	TIFR
Rob	Pisarski	Brookhaven National Lab.
Robert	Greifenhagen	HZDR
Roberta	Arnaldi	INFN Torino (IT)
Roman	Zhokhov	IHEP
Ron	Soltz	Lawrence Livermore Nat. Laboratory (US)
Rongrong	Ma	BNL
Rosi	Reed	Lehigh University
Roy	Lacey	Stony Brook University
Ruben	Kara	University of Wuppertal
Ruiqin	Wang	Qufu Normal University
RURI	OTSUKA	Sophia Univ.
Rutuparna	Rath	Indian Institute of Technology Indore (IN)
Sa	WANG	Central China Normal University
Saehanseul	Oh	Yale University - BNL
Samuel	Belin	Universita e INFN, Cagliari (IT)
Sandeep	Chatterjee	IISER, Berhampur
Sandra	Padula	UNESP - Universidade Estadual Paulista (BR)
Sanghoon	Lim	Pusan National University (KR)
Sangyong	Jeon	McGill University
Sarah	Porteboeuf	Université Clermont Auvergne (FR)
Satoshi	Yano	Université Paris-Saclay (FR)
Sebastian	Tapia Araya	Univ. Illinois at Urbana Champaign (US)
Sergei	Voloshin	Wayne State University (US)
Seyed Farid	Taghavi	Technische Universitaet Muenchen (DE)
Seyoung	Han	Korea University
Shahin	Iqbal	Institute of Particle Physics, CCNU
Shaifali	Mehta	Physikalisches Institut - Eberhard Karls Universität Tübingen
Shaista	Khan	Aligarh Muslim University (IN)
Shan-Liang	Zhang	Central China Normal University
Shangxing	Li	CCNU
shanjin	wu	Peking University
Shanshan	Cao	Wayne State University
Shanzhen	Chen	Universita e INFN, Cagliari (IT)
Shaowei	Lan	Central China Normal University
Sheng-Qin	Feng	China Three Gorges University
Shengli	Huang	Stony Brook University
Shengquan	Tuo	Vanderbilt University (US)
Shengtai	Li	Institute of Modern Physics & CCNU
Shi	Pu	University of Science and Technology of China
Shi	Pu	USTC
Shi-Yong	Chen	CCNU
Shile	Chen	Department of physics, Tsinghua University
Shingo	Sakai	University of Tsukuba (JP)
Shinichi	Esumi	University of Tsukuba (JP)
Shinichi	Hayashi	University of Tokyo (JP)
Shiori	Kajimoto	Osaka University
Shiyi	Zhang	GuiZhou University
Shiyong	Li	University of illinois at chicago
Shizheng	Yang	Shandong University
Shota	Imaki	The University of Tokyo
Shreyansh Shankar	Dave	The Institute of Mathematical Sciences, Chennai, India
Shu	HE	Central China Normal University
Shuai	Liu	Texas A&M University
Shuai	Wang	FuDan University
