Session/Category,Title,Speaker,Institute,Country
,Measurement of N-Point Energy Correlators in Heavy-Ion Collisions at STAR,Andrew Tamis,Yale University,Italy
,Studying path-length dependent energy loss using jet $v_1$ and event shape engineered high momentum probes in heavy-ion collisions at $\sqrt{s_{NN}}$ = 200 GeV by STAR,Isaac Mooney,No affiliation,Unknown
,Observation of medium-induced acoplanarity using $\gamma$ and $ \pi^{0}$-triggered semi-inclusive recoil jet distributions in central Au+Au and $p+p$ collisions at $\sqrt{s_{\rm NN}}=200$ GeV by STAR,NIHAR RANJAN Sahoo,Texas A&M University,Italy
,Probing Electromagnetic-field Effects and Coalescence Dynamics using Directed and Elliptic Flow of Identified Particles at STAR,XIATONG WU,No affiliation,Unknown
,Generalized angularities of heavy flavor and inclusive jets in Au+Au collisions at $\sqrt{s_{\mathrm{NN}}} = 200$ GeV at STAR,Tanmay Pani,No affiliation,Unknown
,Measurement of $J/\psi$ energy correlator in p+p collisions at $\sqrt{s}=500$ GeV at STAR,dandan shen,shandong  university,Italy
,Measurement of heavy-flavor electron production in Au+Au collisions at $\sqrt{s_{NN}}$ = 54.4 GeV at STAR,Veronika Prozorova,Czech Technical University in Prague,Italy
,System size dependence of strange hadron production  at $\sqrt{s_{\text{NN}}}$ = 200 GeV at STAR,Yi Fang,No affiliation,Unknown
,"Matter-Antimatter Mass Difference Measurement for (Anti) Triton, (Anti) Helium-3, and (Anti) Helium-4 with STAR",Emilie Duckworth,No affiliation,Unknown
,Pion femtoscopy with Lévy sources in Au+Au collisions at STAR,Mate Csanad,"Eotvos University, Budapest",Italy
,Light- and Hyper-Nuclei Collectivity in $\sqrt{s_{{NN}}$ = 3.0 $-$ 4.5 GeV Au+Au Collisions at RHIC-STAR,Junyi Han,Central China Normal University,UK
,"Probing isospin violation under strong B-fields via production   of $K^{*0,\pm}$ mesons in Au+Au, Ru+Ru, Zr+Zr, O+O and p+p collisions at RHIC",Subhash Singha,No affiliation,Unknown
,"$\phi$-meson Local, Global, and Helicity Frame Spin Alignment at STAR",Charles Robertson III,Purdue University,Italy
,Production of light nuclei in Au+Au collisions with the STAR BES-II program,Yixuan Jin,Central China Normal University,UK
,Study of the deuterons emission time in pp collisions at the LHC,Oton Vazquez Doce,INFN e Laboratori Nazionali di  Frascati (IT),Italy
Early Career Researcher Day,High density QCD/Phase diagram,Volodymyr Vovchenko,University of Houston,USA
Early Career Researcher Day,Heavy flavor,Ralf Averbeck,GSI - Helmholtzzentrum fur Schwerionenforschung GmbH (DE),Germany
,Measurement of the $\Upsilon$ meson production in $p$+$p$ collisions at $\sqrt{s}$ = 510 GeV at the STAR experiment,Jakub Ceska,No affiliation,Unknown
,Thermal dielectron production in Au+Au collisions at 17.3 GeV at STAR,Ziyang Li,No affiliation,Unknown
,Measurements of elliptic and triangular flow in forward and backward rapidity in Au+Au collisions at $\sqrt{s_{\rm{NN}}}$ = 19.6 GeV at RHIC-STAR,Moe Isshiki,University of Tsukuba,UK
,Semi-inclusive hadron+jet and inclusive jet yield measurements in O+O collisions at $\sqrt{s_{NN}}$= 200 GeV by STAR,Sijie Zhang,No affiliation,Unknown
,Thermal dielectron measurements in Au+Au collisions at BES-II energies with the STAR experiment,Chenliang Jin,No affiliation,Unknown
,Addressing theoretical uncertainties in Bayesian inference for heavy-ion physics,Sunil Jaiswal,Ohio State University,Italy
,"Effective relativistic MHD description of a viscous, resistive plasma from an extension of Müller-Israel-Stewart theory",Ferdinando Frascà,No affiliation,Unknown
,Dielectron analysis in p+p collisions at 1.58 GeV beam energy with HADES,Karina Scharmann,Justus-Liebig-Universität Gießen,USA
,Fuzzy logic for reconstructing moments of multiplicity distributions,Anar Rustamov,GSI Helmholtzzentrum für Schwerionenforschung GmbH,Germany
,Fuzzy logic for reconstructing moments of multiplicity distributions,Joachim Stroth,Goethe-University and GSI,Germany
,Fuzzy logic for reconstructing moments of multiplicity distributions,Marvin Nabroth,No affiliation,Unknown
,"Low-mass, low-momentum virtual photon measurements with HADES",Iuliana-Carina Udrea,Technische Universität Darmstadt,Italy
,Preliminary results on the transverse flow of strange hadrons emitted from Ag+Ag collisions at   beam energy of 1.58AGeV measured with HADES,Jan Orlinski,No affiliation,Unknown
,New results on charged hadron production in Pb+Pb interactions at NA61/SHINE experiment,Syed Uzair Ahmed Shah,Jan Kochanowski University (PL),PL
,News from NA61/SHINE,Katarzyna Grebieszkow,Warsaw University of Technology (PL),PL
,sPHENIX measurement of Large $R_L$ Energy-Energy Correlator on Calorimeters in Dijet events in pp at 200 GeV,Skaydi Grossberndt,"Graduate Center and Baruch College, CUNY",Switzerland
,sPHENIX Event Multiplicity Dependence of Heavy Flavor Jet Production in p+p Collisions,Ming Xiong Liu,Los Alamos National Laboratory,USA
,sPHENIX Performance of the Intermediate Si tracker,Jaein Hwang,Korea University (KR),Korea
,sPHENIX charged hadron v_2 for Au+Au collisions at 200 GeV,Ejiro Naomi Umaka,Brookhaven National Laboratory (US),USA
,sPHENIX Electron Identification for Prompt $J/\psi$ Decays using CNN Algorithms,Bade Sayki,Los Alamos National Laboratory,USA
,sPHENIX Measurement of Dijet Correlations in pp sqrt(s) = 200 GeV,Daniel Lis,No affiliation,Unknown
,sPHENIX electron ID with machine learning,Jingyu Zhang,Fudan university,Italy
,sPHENIX electron ID with machine learning,Weihu Ma,Fudan university,Italy
,sPHENIX measurement of long-range two-particle correlations in high-multiplicity p+p collisions,Yuko Sekiguchi,University of Tokyo (JP),Japan
,sPHENIX photon-jet measurements in proton-proton collisions,Virginia Bailey,Georgia State University,Italy
,sPHENIX probes of bulk properties via neutral meson production,Jaebeom Park,No affiliation,Unknown
,sPHENIX Data-Driven Calculation of Tracking Efficiency,THOMAS MARSHALL,No affiliation,Unknown
,sPHENIX Alignment of the MVTX Tracking Detector,Gregory Ottino,Lawrence Berkeley National Laboratory,USA
,sPHENIX Heavy Flavor Jet Studies with Machine Learning Algorithm in p+p Collisions,Xuan Li,Los Alamos National Laboratory,USA
,Measurement of system size dependence of directed flow of protons (anti-protons) at RHIC,Muhammad Farhan Taseer,"Institute of Modern Physics, Chinese Academy of Sciences, Lanzhou, China",Germany
,Exploring the interplay of global and helicity-frame spin density matrix elements,Zhenyu Ye,Lawrence Berkeley National Lab. (US),USA
,Many-observable analysis of jet quenching using Bayesian inference,Florian Jonas,University of California Berkeley (US),USA
,Anisotropic flow in O-O collisions from a hybrid approach,Lucas Constantin,No affiliation,Unknown
,Beam Energy Dependence of Directed Flow of pions and Kaons in Au+Au Collisions from STAR,Yuqing Huang,No affiliation,Unknown
,Measurements of $\Lambda$-$\Lambda$ Correlation Function in Au+Au Collisions at $\sqrt{s_{NN}}$ = 3 GeV,ke mi,No affiliation,Unknown
,"Dynamical attractors in 3+1D full Boltzmann transport for different collision systems: moments, anisotropic flows $v_n$ and impact of initial state momentum correlations",Vincenzo Nugara,No affiliation,Unknown
,Unraveling the final state interaction and correlation inside high multiplicity jet at LHC,Guangyou Qin,Central China Normal University,UK
,Nuclear clusters and chemical freeze-out in heavy-ion collisions,David Blaschke,Uniwersytet Wrocławski,Uniwersytet Wrocławski
,Abrupt switching from hadron resonance gas to quark-gluon plasma at smooth chiral crossover,Oleksii Ivanytskyi,University of Wroclaw,Italy
,NA61/SHINE results on multiplicity and net-charge fluctuations at CERN SPS energies,Maja Mackowiak-Pawlowska,Warsaw University of Technology (PL),PL
,The SiPM photodetector of the ePIC dual-radiator RICH at the EIC: overview and beam test results,Roberto Preghenella,"INFN, Bologna (IT)",Italy
,Real time simulation of scalar field theory towards thermalization,Bin Wu,University of Santiago de Compostela,Germany
,Real time simulation of scalar field theory towards thermalization,Iván Cuntín.,University of Santiago de Compostela,Germany
,Real time simulation of scalar field theory towards thermalization,Wenyang Qian,University of Santiago de Compostela,Germany
,Quarkonium medium response with dynamical hydro simulation from small to large systems,Jaebeom Park,No affiliation,Unknown
